,global_bore_sync,global_flow_sync,global_frus_sync,fpcn_bore_sync,fpcn_flow_sync,fpcn_frus_sync,sub_bore_sync,sub_flow_sync,sub_frus_sync,fpcn_sub_bore_sync,fpcn_sub_flow_sync,fpcn_sub_frus_sync,global_bore_meta,global_flow_meta,global_frus_meta,fpcn_bore_meta,fpcn_flow_meta,fpcn_frus_meta,sub_bore_meta,sub_flow_meta,sub_frus_meta,fpcn_sub_bore_meta,fpcn_sub_flow_meta,fpcn_sub_frus_meta
sub-005,0.076910956,0.093330375,0.066176362,0.364772462,0.409077027,0.386724551,0.453976503,0.512496607,0.453992854,0.318356458,0.309343675,0.332685589,0.045155313,0.045474455,0.026954391,0.144783709,0.14092446,0.148867196,0.185791697,0.202595147,0.180089014,0.11322239,0.116617069,0.14353817
sub-006,0.081666558,0.069171596,0.089350673,0.39897358,0.299290569,0.347523124,0.439959793,0.311793283,0.449297812,0.334428719,0.234216988,0.270548787,0.040656842,0.035923688,0.035875743,0.13353354,0.145210622,0.161640844,0.192501533,0.139346758,0.162129811,0.092700732,0.104111203,0.121843029
sub-007,0.134081892,0.096079145,0.101700445,0.393409851,0.355439229,0.406233538,0.372574034,0.460999013,0.414009279,0.327212019,0.255749074,0.345187488,0.066591799,0.043216364,0.04724177,0.136435552,0.142827455,0.150135741,0.209560262,0.207369339,0.196793452,0.119570959,0.111354625,0.137536777
sub-008,0.058526037,0.062077966,0.105104124,0.400138609,0.316716249,0.207297415,0.464574197,0.473143722,0.389648333,0.27861478,0.261567981,0.198066032,0.032655447,0.03166623,0.051859871,0.132081337,0.14606591,0.094445132,0.185945236,0.220585868,0.183516656,0.119332363,0.118489777,0.08340836
sub-009,0.078902535,0.086107636,0.107714649,0.399043798,0.31440232,0.352426349,0.390081276,0.455329842,0.377375609,0.281284565,0.232506385,0.260254515,0.037993785,0.044954267,0.05717448,0.131688771,0.132627405,0.147424895,0.1544199,0.211476386,0.182654346,0.099374944,0.112238586,0.117640973
sub-011,0.079371406,0.069696646,0.11456788,0.504316111,0.331800837,0.318614137,0.344649905,0.454597284,0.391375655,0.397190221,0.228417201,0.261199704,0.036269,0.04379944,0.05768943,0.188462713,0.160302853,0.128278432,0.16187792,0.187842003,0.169325991,0.15842234,0.109957934,0.110883199
sub-012,0.154592346,0.097632776,0.154376055,0.304737028,0.272779293,0.354561383,0.341941026,0.43907902,0.475219666,0.249398358,0.180068855,0.316141015,0.060983777,0.049319014,0.077788926,0.148929829,0.10511221,0.157882678,0.18561514,0.23312939,0.190333339,0.124792336,0.08191287,0.147335806
sub-013,0.116260287,0.164431985,0.092467862,0.435519566,0.453146766,0.455006482,0.498023875,0.489783595,0.357370941,0.329949651,0.360218508,0.381838402,0.058748458,0.074121823,0.046892991,0.169802999,0.154906278,0.159534957,0.212739548,0.23993083,0.178704466,0.144030623,0.128667133,0.156606862
sub-014,0.098025945,0.070460996,0.061789167,0.450339887,0.311667925,0.400946166,0.462162774,0.386523473,0.462373784,0.330945249,0.238935717,0.328399605,0.053369388,0.032687071,0.030311851,0.168609371,0.155809823,0.158877526,0.210749249,0.194073957,0.19143558,0.142361605,0.11125308,0.136212577
sub-015,0.080364422,0.067222574,0.089971463,0.359983365,0.544719453,0.526290946,0.466049875,0.332195509,0.406918139,0.241397904,0.412115008,0.398983678,0.045986409,0.034262444,0.039212593,0.154497745,0.213316211,0.190728947,0.223718732,0.167379439,0.181455341,0.107796773,0.147887881,0.144853811
sub-016,0.070072005,0.090021458,0.082377327,0.440246652,0.358296091,0.367776523,0.417828883,0.568418529,0.385881221,0.394220295,0.277135835,0.28324913,0.032888613,0.046976891,0.049074036,0.162118244,0.138911991,0.191116143,0.195801734,0.200952808,0.184069595,0.15548627,0.133883803,0.145001368
sub-017,0.081398194,0.104931869,0.095990866,0.27758398,0.371426398,0.479649638,0.448025751,0.318479306,0.304506186,0.246860484,0.268961791,0.365880173,0.044876536,0.041986171,0.054094718,0.126146561,0.154470768,0.147131221,0.209588187,0.134675052,0.167979623,0.101302478,0.114614457,0.112761882
sub-018,0.126304292,0.173277148,0.13875741,0.2238197,0.317256933,0.298687458,0.313635447,0.446769575,0.382385686,0.17049259,0.294912734,0.234686252,0.064174807,0.094250077,0.068075408,0.096259569,0.154210614,0.135718329,0.131374091,0.205232637,0.189883012,0.081666666,0.139760835,0.112030228
sub-019,0.114621733,0.145299109,0.114069579,0.403548231,0.377939382,0.295927292,0.404016137,0.437748673,0.333273919,0.336041358,0.293097449,0.234292972,0.046351497,0.068119375,0.052071904,0.195649969,0.136721484,0.121280166,0.180128065,0.223282189,0.178557278,0.167264216,0.111329804,0.094847919
sub-020,0.090416812,0.082484852,0.121107286,0.337739189,0.328940799,0.356285506,0.371149794,0.36808147,0.433146501,0.253304558,0.234238844,0.251496536,0.035728313,0.034472523,0.057917499,0.133242256,0.138980019,0.169762029,0.164844687,0.177763694,0.190149149,0.121047515,0.109010705,0.137046631
sub-021,0.105570263,0.06208737,0.077309255,0.387649876,0.345872491,0.440831015,0.369111329,0.319655695,0.41421722,0.280057035,0.262083835,0.369480461,0.052888567,0.031542803,0.042590113,0.181625115,0.151209721,0.154429309,0.164859988,0.140109777,0.188958235,0.130188992,0.132847561,0.135978825
sub-022,0.082467504,0.071505935,0.145125972,0.300630468,0.26634289,0.383994671,0.44246987,0.555078796,0.483054475,0.260121852,0.236802797,0.281821394,0.050460235,0.032601242,0.065316818,0.14893927,0.115719131,0.148836018,0.24560967,0.182231655,0.225000201,0.116924294,0.089958854,0.108611961
sub-023,0.086301747,0.097498067,0.081537883,0.293527875,0.325787519,0.376622886,0.531242821,0.342259312,0.497665123,0.250002964,0.245018724,0.292554474,0.041292086,0.036404617,0.038937706,0.104708181,0.114705531,0.174018616,0.21426024,0.153327699,0.196697889,0.120807877,0.088504599,0.139625053
sub-024,0.100396711,0.094570388,0.096005032,0.391683538,0.369320411,0.429921325,0.44896641,0.422409746,0.398361268,0.293517613,0.268105271,0.315969825,0.048971156,0.044048629,0.053823772,0.180224041,0.111363073,0.154149528,0.179592842,0.181725014,0.159510457,0.135573707,0.098432211,0.123521416
