,global_bore_sync,global_flow_sync,global_frus_sync,fpcn_bore_sync,fpcn_flow_sync,fpcn_frus_sync,sub_bore_sync,sub_flow_sync,sub_frus_sync,fpcn_sub_bore_sync,fpcn_sub_flow_sync,fpcn_sub_frus_sync
sub-005,0.076861,0.080728,0.069764,0.4356,0.40507,0.38276,0.5204,0.44717,0.44203,0.32739,0.32398,0.33933
sub-006,0.096301,0.09051,0.085777,0.36423,0.34879,0.41114,0.46163,0.33777,0.42325,0.29703,0.26479,0.31347
sub-007,0.11959,0.096223,0.10483,0.37821,0.39773,0.35755,0.39414,0.50263,0.41481,0.295,0.3125,0.31993
sub-008,0.063017,0.07637,0.093802,0.43812,0.31985,0.23433,0.43942,0.44763,0.39692,0.31602,0.24402,0.20272
sub-009,0.080236,0.087995,0.11578,0.34772,0.31937,0.40805,0.3572,0.45982,0.46589,0.25738,0.22906,0.31695
sub-011,0.092299,0.10846,0.11656,0.47603,0.39945,0.35194,0.42615,0.47975,0.3482,0.38758,0.25927,0.29168
sub-012,0.13898,0.11559,0.13182,0.36197,0.33036,0.35176,0.38357,0.43584,0.39991,0.29385,0.24354,0.28901
sub-013,0.11138,0.15844,0.090505,0.43472,0.41241,0.48007,0.49135,0.53689,0.33532,0.31435,0.30759,0.38829
sub-014,0.090209,0.070934,0.08258,0.46057,0.33552,0.40719,0.49359,0.4265,0.42825,0.30719,0.24738,0.33968
sub-015,0.077085,0.085842,0.089561,0.40453,0.50207,0.50143,0.40119,0.38559,0.43916,0.28947,0.39621,0.39271
sub-016,0.075761,0.097895,0.077968,0.44807,0.36339,0.41713,0.46379,0.508,0.38805,0.38488,0.26574,0.3501
sub-017,0.096202,0.13383,0.10765,0.29321,0.49229,0.42606,0.43023,0.41761,0.33994,0.24494,0.33382,0.32685
sub-018,0.15477,0.21507,0.14044,0.26315,0.34435,0.29205,0.38251,0.40882,0.36054,0.21252,0.31042,0.23842
sub-019,0.11447,0.17991,0.10171,0.4015,0.36202,0.38589,0.40174,0.49535,0.36773,0.32516,0.29273,0.29217
sub-020,0.079671,0.09728,0.13016,0.3056,0.35336,0.40618,0.41351,0.45384,0.48222,0.23396,0.26351,0.31153
sub-021,0.10013,0.067873,0.07608,0.45686,0.32073,0.41771,0.36078,0.36721,0.40613,0.33994,0.24791,0.34067
sub-022,0.11544,0.075163,0.11052,0.30228,0.32569,0.3467,0.46386,0.50514,0.41817,0.21159,0.25348,0.24256
sub-023,0.10338,0.095417,0.07941,0.32452,0.36728,0.35054,0.52601,0.37544,0.47616,0.253,0.27511,0.26334
sub-024,0.089695,0.089895,0.11885,0.42071,0.41656,0.44479,0.49342,0.41897,0.49084,0.32458,0.30547,0.3368
sub-025,0.10507,0.10715,0.16241,0.41257,0.31544,0.40664,0.53901,0.44736,0.49181,0.3344,0.27731,0.34698
sub-026,0.091108,0.10467,0.090024,0.34219,0.34852,0.41509,0.42199,0.38777,0.35412,0.25029,0.28129,0.30008
sub-028,0.093406,0.10718,0.096996,0.34453,0.38735,0.40421,0.50798,0.41626,0.49513,0.25246,0.30074,0.33047
sub-029,0.070957,0.12832,0.10306,0.41668,0.42241,0.50766,0.45113,0.3505,0.46577,0.3182,0.33057,0.3946
sub-030,0.067321,0.086781,0.094123,0.44982,0.37245,0.36251,0.46158,0.34789,0.45858,0.30844,0.27896,0.26007
sub-031,0.079766,0.085473,0.078659,0.32864,0.3213,0.34836,0.51982,0.42582,0.46824,0.26755,0.27439,0.26062
sub-032,0.074556,0.10762,0.13282,0.36249,0.38067,0.51009,0.38326,0.42526,0.44807,0.25851,0.29814,0.40623
sub-033,0.078214,0.10583,0.095118,0.41624,0.32564,0.42178,0.4594,0.46882,0.49232,0.30913,0.22649,0.31258
sub-034,0.081577,0.11349,0.099322,0.38348,0.30809,0.45502,0.44275,0.40085,0.44737,0.30108,0.24891,0.3947
sub-035,0.10847,0.11372,0.10881,0.33146,0.27186,0.32339,0.39854,0.43474,0.41348,0.24317,0.22086,0.28
sub-036,0.11485,0.11972,0.12711,0.39815,0.36417,0.37745,0.37246,0.51882,0.42836,0.33292,0.3219,0.31771
sub-037,0.098486,0.099833,0.10562,0.36718,0.33928,0.43002,0.50824,0.40928,0.41886,0.32893,0.26009,0.32134
sub-039,0.10363,0.15951,0.17842,0.41318,0.28272,0.40842,0.51548,0.46617,0.38901,0.30342,0.19962,0.33164
sub-040,0.1035,0.095863,0.08685,0.57397,0.43258,0.40757,0.41989,0.49866,0.34242,0.44871,0.31967,0.32025
sub-041,0.095546,0.078808,0.071255,0.51487,0.36535,0.3649,0.47307,0.42293,0.38096,0.38147,0.29116,0.25444
sub-042,0.09525,0.11953,0.1482,0.35313,0.37838,0.29774,0.44191,0.40644,0.42218,0.29189,0.29783,0.22822
