x y z radius(mm) netWorkbenchLabel netName integrativePercent
-53 -45 -24 5 0 unassigned 0
-23 -96 -15 5 0 unassigned 0
8 36 -18 5 0 unassigned 0
26 -96 -15 5 0 unassigned 0
47 -6 -33 5 0 unassigned 0
50 -36 -24 5 0 unassigned 0
53 -33 -14 5 0 unassigned 0
-55 -27 -14 5 0 unassigned 0
62 -27 -15 5 0 unassigned 0
-47 -9 -36 5 0 unassigned 0
32 33 -6 5 0 unassigned 0
-44 -51 -21 5 0 unassigned 0
-8 -54 57 5 10 SomatomotorDorsal 0
-1 -18 46 5 10 SomatomotorDorsal 0
-52 -25 41 5 10 SomatomotorDorsal 0
-44 -34 44 5 10 SomatomotorDorsal 0
-39 -22 52 5 10 SomatomotorDorsal 0
-38 -30 66 5 10 SomatomotorDorsal 0
-38 -18 66 5 10 SomatomotorDorsal 0
-29 -45 57 5 10 SomatomotorDorsal 0
-23 -33 69 5 10 SomatomotorDorsal 0
-21 -34 58 5 10 SomatomotorDorsal 0
-17 -48 69 5 10 SomatomotorDorsal 0
-14 -21 39 5 10 SomatomotorDorsal 0
-14 -21 72 5 10 SomatomotorDorsal 0
-8 -24 63 5 10 SomatomotorDorsal 0
-8 -36 69 5 10 SomatomotorDorsal 0
1 -31 58 5 10 SomatomotorDorsal 0
2 -21 57 5 10 SomatomotorDorsal 0
8 -6 45 5 10 SomatomotorDorsal 0
8 -48 69 5 10 SomatomotorDorsal 0
8 -21 72 5 10 SomatomotorDorsal 0
11 -36 72 5 10 SomatomotorDorsal 0
18 -32 58 5 10 SomatomotorDorsal 0
20 -45 66 5 10 SomatomotorDorsal 0
26 -21 69 5 10 SomatomotorDorsal 0
26 -42 57 5 10 SomatomotorDorsal 0
35 -21 45 5 10 SomatomotorDorsal 0
39 -24 54 5 10 SomatomotorDorsal 0
41 -12 57 5 10 SomatomotorDorsal 0
44 -33 48 5 10 SomatomotorDorsal 0
47 -24 42 5 10 SomatomotorDorsal 0
17 -12 63 5 10 SomatomotorDorsal 0
51 -31 34 5 10 SomatomotorDorsal 0
-51 -13 24 5 11 SomatomotorLateral 0
-48 -14 34 5 11 SomatomotorLateral 0
34 -13 16 5 11 SomatomotorLateral 0
48 -10 34 5 11 SomatomotorLateral 0
62 -12 27 5 11 SomatomotorLateral 0
-49 5 0 5 9 CinguloOpercular 0
-43 -3 10 5 9 CinguloOpercular 0
-33 0 6 5 9 CinguloOpercular 0
-17 -9 69 5 9 CinguloOpercular 0
-11 -6 42 5 9 CinguloOpercular 0
-6 13 36 5 9 CinguloOpercular 0
-4 -2 53 5 9 CinguloOpercular 0
5 3 51 5 9 CinguloOpercular 0
11 -6 69 5 9 CinguloOpercular 0
34 6 5 5 9 CinguloOpercular 0
35 -3 0 5 9 CinguloOpercular 0
47 4 3 5 9 CinguloOpercular 0
-29 -29 12 5 9 CinguloOpercular 0
39 -5 48 5 9 CinguloOpercular 0
34 17 7 5 9 CinguloOpercular 0
-38 45 21 5 9 CinguloOpercular 0
29 27 30 5 9 CinguloOpercular 0
29 49 20 5 9 CinguloOpercular 0
35 27 3 5 9 CinguloOpercular 0
-51 -24 22 5 12 Auditory 0
41 -26 21 5 12 Auditory 0
56 -21 30 5 12 Auditory 0
-58 -27 13 5 12 Auditory 0
-53 -12 12 5 12 Auditory 0
-48 -36 24 5 12 Auditory 0
-47 -28 5 5 12 Auditory 0
-37 -35 16 5 12 Auditory 0
30 -29 14 5 12 Auditory 0
53 -9 16 5 12 Auditory 0
55 -19 10 5 12 Auditory 0
62 -36 21 5 12 Auditory 0
-65 -24 -15 5 1 DefaultMode 0
-65 -42 -6 5 1 DefaultMode 0
-55 -31 -4 5 1 DefaultMode 0
-53 -15 -9 5 1 DefaultMode 0
-50 0 -24 5 1 DefaultMode 0
-47 -43 0 5 1 DefaultMode 0
-44 -61 18 5 1 DefaultMode 0
-44 27 -9 5 1 DefaultMode 0
-43 -65 31 5 1 DefaultMode 0
-41 9 -30 5 1 DefaultMode 0
-39 -75 22 5 1 DefaultMode 0
-38 -75 39 5 1 DefaultMode 0
-35 15 51 5 1 DefaultMode 0
-20 39 42 5 1 DefaultMode 0
-20 57 24 5 1 DefaultMode 0
